Sample,PC1,PC2,Group
Supreme-1,-1.1978944184828766,6.700305831500951,Supreme
Supreme-2,-3.3759251330340416,1.4386592822562518,Supreme
Supreme-3,2.2112391758121293,-0.43543586604927914,Supreme
Premium-1,-1.4761871222492273,0.9584524998699213,Premium
Premium-2,0.9376426257987097,0.7235419840055117,Premium
Premium-3,-1.9881110391000163,1.2330542491789045,Premium
Special-1,-1.0561230701671032,-1.7254684548603298,Special
Special-2,0.036053908161548465,-0.5457099938252616,Special
Special-3,1.2978729023233193,0.8016303765867364,Special
Grade I-1,2.5685674706041497,2.2910667739101953,Grade I
Grade I-2,2.4675584225249905,-2.8020675782877262,Grade I
Grade I-3,4.035106599994691,0.029183893077659173,Grade I
Grade II-1,-0.6487382730493031,0.1580075924778338,Grade II
Grade II-2,-2.7734692859492873,-0.3227744424137336,Grade II
Grade II-3,-2.1604025790153636,0.020455555575362626,Grade II
