permutation,R2,Q2
0,0.2103834564419738,-0.023491655480613133
1,0.011617382299735935,-0.005861995782801929
2,0.05987184900772556,0.083690380245899
3,0.1048975273337756,0.06410727619431242
4,0.2613969107589024,-0.055415290558838204
5,0.1980099548245887,-0.020306804287043304
6,0.08358091830690118,-0.08611584906743602
7,0.2319979912321083,-0.02977077418344956
8,0.15282170265841122,0.03590362367205274
9,0.2530983489816242,-0.03377002635711859
10,0.008280160535890767,0.07540768231511205
11,0.07836455891706305,0.016117946747741557
12,0.29506517186492615,-0.09234856052934746
13,0.1789713764963234,-0.03086257766403995
14,0.23592845346110458,-0.012721223225878403
15,0.29527075479497694,-0.07687084319413391
16,0.26985141987335987,-0.06198424509954079
17,0.013315960113969327,-0.012788496909005548
18,0.15597610456997563,0.06130217394002077
19,0.20605714407435802,0.08805262407951067
20,0.2211113080470901,-0.06059297417965313
21,0.12938921988749608,0.08977489719426288
22,0.27623125686541206,0.024631081989281836
23,0.19901624287966327,-0.07507493686712646
24,0.2700140505291274,0.0014245008070538356
25,0.2000678712317189,-0.03476341902852002
26,0.20916252425831972,0.010882495533358738
27,0.05755202789704424,0.032985886842554296
28,0.11374358313676253,0.04962691203177799
29,0.05220820296298318,0.013821050973161858
30,0.12182255062744884,0.06674503386081151
31,0.09116248478050613,-0.05796346302347162
32,0.23572764824327402,0.02133231409595253
33,0.09667476892096144,-0.011642796632409413
34,0.20268816995702996,0.002234799374917412
35,0.2381206197318006,0.09196640073660725
36,0.2207884337820665,0.03177014899968436
37,0.08513592149790823,0.032770767260999756
38,0.18577824160871265,-0.08132255998488747
39,0.28559989873574254,-0.05302628029466321
40,0.09312583928847458,0.061312578915253185
41,0.04420618867373181,-0.09075725638144833
42,0.29518080683455544,0.022254794612136017
43,0.23054680170005906,-0.008916766323982167
44,0.26584107271529445,0.015134179881863635
45,0.21550377464969658,-0.02320430652144974
46,0.1198958588629613,-0.07048573098174037
47,0.20628672392415584,0.07853196524227332
